method,AUROC,AUPRC,F1
discriminator (supervised),0.4477186414930555,0.009699580133081163,0.02150537634402359
discriminator (train-on-normal),0.7934818974247685,0.0395300528546488,0.11353711790345303
IForest,0.4803873697916667,0.009108332023403387,0.03488372092973364
OCSVM,0.3927924262152777,0.006376583982558064,0.02489626555969801
LOF,0.7138536241319444,0.017189116654484807,0.05369127516730688
ECOD,0.550660083912037,0.012537135794603315,0.03896103896055322
PCA,0.5,0.007270964614638876,0.014436958614037638
AutoEncoder,0.5310420283564815,0.010136953070338307,0.03141361256494669
DeepSVDD,0.41289695457175923,0.010907303683109298,0.043209876542808646
BeatGAN (cited),0.945,None,0.816
