n_lr,model,rmse_mean,rmse_median,rmse_p90,rmse_o2
4,linear,0.38294370098191294,0.3694348776098017,0.5006062732034163,0.35736262532313817
4,cubic_spline,0.22651696175406422,0.20846292493909763,0.3465694203120203,0.1894897415773946
4,gp_rbf,0.4185925179926012,0.41070606162053636,0.4503029872111793,0.41393194436427383
4,gp_matern,0.4193369473176835,0.41134348376349755,0.45054410287505037,0.41489818226581665
4,cnn_supervised,0.027019284665584564,0.024798978120088577,0.0473574623465538,0.022832928225398064
4,gan,0.027529887855052948,0.024725306779146194,0.046740710735321045,0.026280662044882774
6,linear,0.17964991369857677,0.1650833667047196,0.2608096882883268,0.1562512132789696
6,cubic_spline,0.062105673027266065,0.047918631040598736,0.12065579361511848,0.042244611885452345
6,gp_rbf,0.2633447535102221,0.2676764573490419,0.29050472769236096,0.27340308148900394
6,gp_matern,0.2846239673955496,0.2943865419575236,0.3177366577329931,0.3016083675358079
6,cnn_supervised,0.010118880309164524,0.006333331577479839,0.02118414267897606,0.004539203364402056
6,gan,0.019158419221639633,0.014232020825147629,0.033990830183029175,0.011772600933909416
8,linear,0.10316473478453471,0.09198163680790462,0.15712680570812615,0.08655290830294046
8,cubic_spline,0.024434798802026772,0.01669692552848932,0.052663968383943535,0.014640144113003397
8,gp_rbf,0.14798485104043047,0.12386829412169004,0.3051194731771623,0.11183795360375329
8,gp_matern,0.15311452146915347,0.11012677758883971,0.26983395860206283,0.1088933149954013
8,cnn_supervised,0.0038583308923989534,0.00274692103266716,0.008044321089982986,0.0016606642166152596
8,gan,0.006448301021009684,0.0050928546115756035,0.01018450502306223,0.004154939670115709
10,linear,0.06573148526142572,0.05766383045532192,0.10309523107019077,0.05401177872619129
10,cubic_spline,0.011379094682915598,0.007205786951303096,0.02558476015417677,0.006238677847998386
10,gp_rbf,0.07183651776716,0.029883548652558174,0.28232150603500655,0.02264672227870087
10,gp_matern,0.06528607222965213,0.03349846575697096,0.20980895114842016,0.02765735725479399
10,cnn_supervised,0.0030458178371191025,0.0021241968497633934,0.0055703055113554,0.0013213991187512875
10,gan,0.0031944739166647196,0.0029821861535310745,0.004665279760956764,0.0027532540261745453
12,linear,0.048607095484809425,0.0420811991274519,0.07796984518811555,0.03929490602147765
12,cubic_spline,0.006319604540513074,0.0037306889763423457,0.014621071852974048,0.0032024562844212125
12,gp_rbf,0.01933287516876328,0.0035570414104990136,0.0649307490706004,0.002958321580970891
12,gp_matern,0.026459220208374896,0.013427943424953345,0.07570610311516894,0.011708872381557728
12,cnn_supervised,0.0021175844594836235,0.0015712741296738386,0.0035932797472923994,0.0010650987969711423
12,gan,0.0016873335698619485,0.001564353471621871,0.0024841981939971447,0.0014962437562644482
14,linear,0.03485028397074325,0.03000757444642714,0.05617704051883047,0.028007625565921634
14,cubic_spline,0.0037376905971108778,0.002116791614960389,0.008749312546600461,0.001784208495131236
14,gp_rbf,0.0075931372596162415,0.0009493166052185683,0.0188026080669008,0.0002755481394764733
14,gp_matern,0.013553959579512024,0.006920299035983561,0.02657783672514373,0.006006291621506087
14,cnn_supervised,0.0013881997438147664,0.001013744156807661,0.0022795924451202154,0.0007835497381165624
14,gan,0.0019530659774318337,0.0018562267068773508,0.002211460843682289,0.0017300952458754182
16,linear,0.02414302216663323,0.02091734946161864,0.03833485883779863,0.019581166344964842
16,cubic_spline,0.0019852814855940235,0.0010579677836040436,0.004694898475348164,0.0008791661804966215
16,gp_rbf,0.002890895801025183,0.00017312051616458386,0.0032107691584205393,2.8564018898223257e-05
16,gp_matern,0.0068629162285472525,0.00369095426954494,0.012978095483661113,0.0032520213074884474
16,cnn_supervised,0.0010529962601140141,0.0008049540338106453,0.001648172503337264,0.000645758118480444
16,gan,0.0009377120295539498,0.0008599540451541543,0.001364820054732263,0.0008211687672883272
