n_lr,model,rmse_mean,rmse_median,rmse_p90,rmse_o2,rmse_lennard_jones,rmse_morse,rmse_buckingham_exp6,rmse_extended_rydberg
4,linear,0.39049351762951257,0.3771968832771426,0.49972371533769677,0.35736262532313817,0.4186392097713682,0.3404169046812931,0.3928286901406044,0.41008926592478473
4,cubic_spline,0.23458839882064134,0.2189907717394639,0.3445834157763419,0.1894897415773946,0.26498081398228074,0.18228473266831,0.23581670426233672,0.25527134436963794
4,gp_rbf,0.4203097070852846,0.4118982527198821,0.45199831948112196,0.41393194436427383,0.4224853131231643,0.41110346973975076,0.42040969656730703,0.4272403489109161
4,gp_matern,0.42099387340824507,0.4128527413182068,0.4514134600071632,0.41489818226581665,0.4229684659079132,0.4121390198789205,0.4211302060844169,0.4277378017617297
4,cnn_supervised,0.034570835530757904,0.02731277048587799,0.06645087897777557,0.022143399342894554,0.019846731796860695,0.03452952206134796,0.022741366177797318,0.06116572394967079
4,gan,0.041268400847911835,0.030541792511940002,0.08525758236646652,0.02017449587583542,0.037239741533994675,0.023994363844394684,0.023149564862251282,0.080689936876297
6,linear,0.18686849165217528,0.1727721244233265,0.26827143551373495,0.1562512132789696,0.20794991057413348,0.14806242429129793,0.18401674697957787,0.2074448847636918
6,cubic_spline,0.06892878738866592,0.05467172027712516,0.1340005562490355,0.042244611885452345,0.08452759377505985,0.038497160723017634,0.06320806856683957,0.08948232648974665
6,gp_rbf,0.26721686391904453,0.2676868977175145,0.2893298443303045,0.27340308148900394,0.2674765309547488,0.26474979975026686,0.2717945775739561,0.2648465473972065
6,gp_matern,0.29050493950318096,0.2929972593295505,0.31422028356821885,0.3016083675358079,0.29112106129814774,0.28526824517807203,0.2978975340296399,0.28773291750686414
6,cnn_supervised,0.01657121814787388,0.008392766118049622,0.041353560984134674,0.008643873035907745,0.012062864378094673,0.012759380042552948,0.015405778773128986,0.026056857779622078
6,gan,0.01636769436299801,0.007920779287815094,0.04059736430644989,0.003800171660259366,0.0142480144277215,0.008799098432064056,0.011718490161001682,0.030705170705914497
8,linear,0.10835885148693994,0.0968391520159295,0.16515223263301165,0.08655290830294046,0.1229443502648651,0.08166961150797976,0.10514700284877794,0.12367444132613695
8,cubic_spline,0.02779311441862366,0.01940747373867907,0.06155221220734379,0.014640144113003397,0.035899430869828074,0.012839275144749447,0.023908858163201038,0.03852489349671609
8,gp_rbf,0.15610238426610504,0.13122837277265076,0.3120930333531121,0.11183795360375329,0.18148009110361435,0.10375494469390496,0.16054571887152036,0.1786287823953804
8,gp_matern,0.16162758143169598,0.11567895757258415,0.26659615335740133,0.1088933149954013,0.17899101090667532,0.11559011472042585,0.162629572047514,0.18929962805216877
8,cnn_supervised,0.005726677365601063,0.0029892101883888245,0.014382550492882729,0.001866356935352087,0.0045196725986897945,0.0038974962662905455,0.005630445666611195,0.00885909516364336
8,gan,0.005761099047958851,0.0031980974599719048,0.013589074835181236,0.002259285654872656,0.005402376875281334,0.0027674587909132242,0.00378578994423151,0.011088768020272255
10,linear,0.0693658461976473,0.0607478876261055,0.10904122719985695,0.05401177872619129,0.07960246085204965,0.050876051873215686,0.06669861904119585,0.08028625302412801
10,cubic_spline,0.01302349939311003,0.008226335923661421,0.029781326296051378,0.006238677847998386,0.01753034571088638,0.005309335346852994,0.010729246902406538,0.01852506961229421
10,gp_rbf,0.07974179616537053,0.0375235315810486,0.2864706191420248,0.02264672227870087,0.11371245454844106,0.026362066348931967,0.07724880937757309,0.10164385438653595
10,gp_matern,0.07075961885813013,0.04007221101173887,0.21236324078157573,0.02765735725479399,0.09636231460279797,0.032423986759888786,0.0690198246736935,0.08523234939614019
10,cnn_supervised,0.0035490738227963448,0.0024212347343564034,0.007195545360445976,0.00150520377792418,0.0033594095148146152,0.002911068731918931,0.0035412991419434547,0.004384517204016447
10,gan,0.003795284079387784,0.0029954775236546993,0.00637836242094636,0.0028861837927252054,0.0037994813174009323,0.002680421806871891,0.0030155333224684,0.005685699637979269
12,linear,0.05148231965777244,0.044415314296813786,0.0828056530008436,0.03929490602147765,0.05960587394957515,0.036922512140861424,0.049177577929540986,0.06022331461111221
12,cubic_spline,0.007229565821316117,0.004329450678990602,0.017009637576444164,0.0032024562844212125,0.010047549662853998,0.002700327040092416,0.005776794581897949,0.010393592000420105
12,gp_rbf,0.02330703832788777,0.0049851278182018715,0.07784797198247416,0.002958321580970891,0.03495542130646431,0.004155378818924565,0.01945220561171003,0.03466514757445219
12,gp_matern,0.03045565932070801,0.01580830154291185,0.08630389868589286,0.011708872381557728,0.04104431112091296,0.012028190678241513,0.0274755996940314,0.04127453578964617
12,cnn_supervised,0.0023305355571210384,0.0016654510982334614,0.0043012117967009544,0.0010946928523480892,0.0023422478698194027,0.001990497810766101,0.0022493847645819187,0.002740011550486088
12,gan,0.003039069240912795,0.0026701409369707108,0.0040130880661308765,0.002700108103454113,0.0031073493883013725,0.002560361521318555,0.0026744487695395947,0.003814116818830371
14,linear,0.03693704635239192,0.03172875457179314,0.05963415817054197,0.028007625565921634,0.042914349016681314,0.026325572061135075,0.03518566511069451,0.043322599221056815
14,cubic_spline,0.004260668283503628,0.0024509657136632997,0.010017480630947177,0.001784208495131236,0.006053394576083455,0.0015122072911523743,0.003341227628020331,0.006135843638758351
14,gp_rbf,0.008454856391709726,0.0010568252626271906,0.02330106357467213,0.0002755481394764733,0.015306311588064487,0.0008147523533265675,0.006095227630248292,0.011603133995199555
14,gp_matern,0.015164836578864352,0.008134827277427134,0.03162390030914969,0.006006291621506087,0.021934147833512392,0.005637638483415436,0.013042559763147532,0.020045000235382044
14,cnn_supervised,0.0014353864826261997,0.0010561096714809537,0.002520838985219598,0.0007685764576308429,0.0015338155208155513,0.0011657301802188158,0.0013799885055050254,0.001662012073211372
14,gan,0.002235455671325326,0.00205239187926054,0.00261523830704391,0.002033419441431761,0.002274838276207447,0.0020406185649335384,0.0021540140733122826,0.0024723520036786795
16,linear,0.02551391798923923,0.022037274218950846,0.04066400381464566,0.019581166344964842,0.029513295439845745,0.018467566950605002,0.02437121742534487,0.0297035921411613
16,cubic_spline,0.0022519835638660684,0.0012330249412768723,0.005293932202853499,0.0008791661804966215,0.003281767938308639,0.0007526977684229428,0.001727966083185821,0.003245502465546871
16,gp_rbf,0.0024820412847875086,0.00020792642598449143,0.0037895224478377092,2.8564018898223257e-05,0.005300280540250724,0.00023871875480695382,0.0013017651047391233,0.003087400739353234
16,gp_matern,0.00758904478773327,0.004272887787463181,0.015038281731558672,0.0032520213074884474,0.01141138837440661,0.0029518082177940443,0.0061933486593063825,0.009799633899426041
16,cnn_supervised,0.0010956678306683898,0.0008648912189528346,0.001733609358780086,0.0006891052471473813,0.0012017633998766541,0.0009323885315097868,0.0010499522322788835,0.001198566984385252
16,gan,0.0006546619697473943,0.0005289344117045403,0.0009557538433000445,0.000513874867465347,0.0007040510536171496,0.0005066818557679653,0.0005842025857418776,0.0008237124420702457
