n_lr,model,rmse_mean,rmse_median,rmse_p90,rmse_o2,rmse_lennard_jones,rmse_morse,rmse_buckingham_exp6,rmse_extended_rydberg
4,linear,0.4417840203792825,0.3945268905333814,0.8089619486445805,0.43298920685618014,0.4514809650607319,0.47750157477194466,0.40814756742297603,0.4300059742614776
4,cubic_spline,0.6457884048879263,0.3851526848604806,1.1499783313122345,0.6837623004126197,0.7794847946562271,0.44230479739088174,0.5061300171636953,0.8552340103409012
4,gp_rbf,0.5465323402222736,0.530470818593646,0.7593041975757683,0.5759907885016615,0.5675039759360044,0.562163919813357,0.508550676389194,0.547910788750539
4,gp_matern,0.5510662328303183,0.5322138944756039,0.7898540720258965,0.5803844754814751,0.5703771794803706,0.5725077813498176,0.5109455842022023,0.5504343862888826
4,cnn_supervised,0.06830901652574539,0.056735292077064514,0.12378832697868347,0.043784234672784805,0.07286015152931213,0.06842532008886337,0.06400655955076218,0.06794402748346329
4,gan,0.06460224837064743,0.05505908280611038,0.11753042042255402,0.04328054189682007,0.06631878763437271,0.06352873146533966,0.05974118784070015,0.06882031261920929
6,linear,0.27914044876840366,0.21934222219456972,0.57572510935272,0.2788686871023721,0.3042263365370581,0.27051950689106147,0.2577016094506562,0.2841143421948387
6,cubic_spline,0.14589994300295522,0.0991591429258801,0.3309952871282333,0.1266074561859447,0.16653346286837312,0.1098511343462342,0.12294143776217138,0.18427373703504218
6,gp_rbf,0.3374346893431765,0.3191492985495064,0.5022817247729934,0.3278239932173066,0.35378955388270356,0.3152906927067773,0.3079349579452021,0.372723552838023
6,gp_matern,0.3326052044880331,0.3137539408200372,0.5137619932792207,0.32703313157299185,0.34928161518735723,0.3128498872214166,0.30803103822292205,0.3602582773204365
6,cnn_supervised,0.03909144923090935,0.026895537972450256,0.08979921042919159,0.029126815497875214,0.04332137480378151,0.036005035042762756,0.03276398032903671,0.04427541792392731
6,gan,0.038924723863601685,0.027719255536794662,0.08522924780845642,0.030629733577370644,0.041917115449905396,0.03666595369577408,0.032764922827482224,0.044350914657115936
8,linear,0.1963101291037038,0.14026454672528535,0.4440713947344162,0.16025504759976908,0.21124995827631848,0.1654998470028134,0.2120316941249439,0.19645901701073928
8,cubic_spline,0.07215917096070502,0.03881056935330023,0.183925547989806,0.03853107982514946,0.07847369834801773,0.0473134072804557,0.07810257206460883,0.08474700614973782
8,gp_rbf,0.19788670063863367,0.17852236491157422,0.33951034196517565,0.19130895735260908,0.2128705025002649,0.16090184430885351,0.2025911072176426,0.2151833485277737
8,gp_matern,0.1900612285185376,0.16739833798882656,0.3618390892799192,0.17176844342286618,0.206960426963285,0.14420697451133255,0.1988776971815932,0.2101998154179398
8,cnn_supervised,0.02464044839143753,0.013509445823729038,0.05850078910589218,0.017749782651662827,0.026383409276604652,0.021603956818580627,0.024589097127318382,0.02598532848060131
8,gan,0.024583827704191208,0.013260286301374435,0.0567328967154026,0.015597416087985039,0.027691220864653587,0.02010001242160797,0.025136111304163933,0.025407962501049042
10,linear,0.135080652873089,0.10051433780519048,0.28808176872729435,0.12109044785927589,0.14156153165427546,0.13328435339352163,0.13634849908845809,0.12912822735610086
10,cubic_spline,0.033859174721780336,0.016830022993364557,0.08724530318808339,0.02123399287795616,0.03625815956201362,0.025220416927740654,0.030645799713172817,0.043312322684194236
10,gp_rbf,0.10673250839427446,0.08381571975984572,0.23172867514356751,0.0640573703257245,0.11937933769934847,0.0677141452148307,0.10107850538284245,0.1387580452800762
10,gp_matern,0.09714451259018528,0.07461261270255365,0.20873782363428126,0.0523974776628053,0.10851499554694766,0.07056422422162316,0.09351119888888103,0.11598763170328938
10,cnn_supervised,0.017980478703975677,0.0093772541731596,0.04383988305926323,0.01415954902768135,0.01722877472639084,0.017852652817964554,0.016420213505625725,0.020420268177986145
10,gan,0.016572218388319016,0.008148876950144768,0.03857392817735672,0.0114840567111969,0.015352603048086166,0.01437046192586422,0.014005652628839016,0.022560155019164085
12,linear,0.10696035138593711,0.08205515801698578,0.2095241009386951,0.11286290198659935,0.1197529788430451,0.09302981316821379,0.10419848568956308,0.11086012784292645
12,cubic_spline,0.02151598418792915,0.008361085135649423,0.046844158760278046,0.019259448010315965,0.028966903870354624,0.010181223236861764,0.016892859378514577,0.03002295026598564
